Region,ISO_code,Cname,Vaccine,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
EMR,TUN,Tunisia,DTP3,98,98,97,98,98,99,99,98,99,98,97,95,96,98,97
EUR,TUR,Turkey,DTP3,96,98,97,97,97,96,96,96,90,90,85,68,78,88,85
EUR,TKM,Turkmenistan,DTP3,98,98,97,97,96,96,96,98,98,99,97,83,98,95,97
WPR,TUV,Tuvalu,DTP3,90,90,97,96,89,88,99,97,97,93,98,93,98,96,82
AFR,UGA,Uganda,DTP3,78,78,78,82,80,79,71,73,64,64,62,59,57,55,52
EUR,UKR,Ukraine,DTP3,76,76,76,50,52,71,90,98,98,96,99,97,99,99,99
EMR,ARE,United Arab Emirates (the),DTP3,94,94,94,94,94,93,92,92,92,94,94,94,94,94,94
EUR,GBR,United Kingdom of Great Britain and Northern Ireland (the),DTP3,95,95,95,95,94,93,92,92,92,91,92,91,91,91,91
AFR,TZA,United Republic of Tanzania,DTP3,97,91,92,90,91,85,86,83,90,90,95,95,89,87,79
AMR,USA,United States of America (the),DTP3,94,94,96,95,95,95,96,95,96,96,96,96,94,94,94
AMR,URY,Uruguay,DTP3,95,94,95,95,95,95,94,94,95,96,94,91,95,94,90
EUR,UZB,Uzbekistan,DTP3,99,99,99,99,99,98,98,96,96,99,99,98,99,99,99
WPR,VUT,Vanuatu,DTP3,64,64,64,65,65,66,67,67,68,68,69,69,70,70,71
AMR,VEN,Venezuela (Bolivarian Republic of),DTP3,78,82,81,78,78,84,50,62,71,87,86,68,65,70,77
WPR,VNM,Viet Nam,DTP3,95,59,97,95,93,96,93,92,94,95,96,99,75,96,96
EMR,YEM,Yemen,DTP3,88,88,82,81,87,86,87,87,85,85,78,66,69,76,76
AFR,ZMB,Zambia,DTP3,86,79,78,81,83,94,87,80,81,82,83,83,84,85,85
AFR,ZWE,Zimbabwe,DTP3,91,95,95,93,89,73,75,73,70,68,65,68,71,75,78
